answer,Male_Female2,Male_Female,fixation,correctness,order,loss_trial.thisRepN,loss_trial.thisTrialN,loss_trial.thisN,loss_trial.thisIndex,reward_trial.thisRepN,reward_trial.thisTrialN,reward_trial.thisN,reward_trial.thisIndex,start_key.keys,start_key.rt,decide_2.keys,decide_2.rt,decide.keys,decide.rt,date,frameRate,expName,session,participant
a,F045.png,F046.png,1.6,0,96,0,37,37,37,,,,,,,d,0.550283131,,,2018_3_05_0953,60.01199754,One_NoFb_17ms,1,YAD_10058_01
d,F045.png,F046.png,1.6,1,252,0,38,38,38,,,,,,,d,0.450250863,,,2018_3_05_0953,60.01199754,One_NoFb_17ms,1,YAD_10058_01
a,F045.png,F046.png,1.6,0,5,0,39,39,39,,,,,,,d,0.550226136,,,2018_3_05_0953,60.01199754,One_NoFb_17ms,1,YAD_10058_01
d,F034.png,F028.png,1.2,0,204,,,,,0,0,0,0,,,,,a,0.933757547,2018_3_05_0953,60.01199754,One_NoFb_17ms,1,YAD_10058_01
a,F028.png,F034.png,1.8,0,216,,,,,0,1,1,1,,,,,d,0.63360112,2018_3_05_0953,60.01199754,One_NoFb_17ms,1,YAD_10058_01
d,F028.png,F034.png,1.2,1,76,,,,,0,2,2,2,,,,,a,0.400211493,2018_3_05_0953,60.01199754,One_NoFb_17ms,1,YAD_10058_01
d,F028.png,F034.png,1.2,1,228,,,,,0,3,3,3,,,,,a,0.40018285,2018_3_05_0953,60.01199754,One_NoFb_17ms,1,YAD_10058_01
d,F034.png,F028.png,1.8,0,142,,,,,0,4,4,4,,,,,d,0.433631283,2018_3_05_0953,60.01199754,One_NoFb_17ms,1,YAD_10058_01
d,F028.png,F034.png,1.2,1,69,,,,,0,5,5,5,,,,,a,0.383382056,2018_3_05_0953,60.01199754,One_NoFb_17ms,1,YAD_10058_01
d,F028.png,F034.png,1.8,1,95,,,,,0,6,6,6,,,,,a,0.383628448,2018_3_05_0953,60.01199754,One_NoFb_17ms,1,YAD_10058_01
d,F028.png,F034.png,1.8,1,140,,,,,0,7,7,7,,,,,d,1.233657062,2018_3_05_0953,60.01199754,One_NoFb_17ms,1,YAD_10058_01
a,F034.png,F028.png,1.4,1,265,,,,,0,8,8,8,,,,,a,0.466921008,2018_3_05_0953,60.01199754,One_NoFb_17ms,1,YAD_10058_01
a,F034.png,F028.png,1.4,1,271,,,,,0,9,9,9,,,,,a,0.366924398,2018_3_05_0953,60.01199754,One_NoFb_17ms,1,YAD_10058_01
